SESSION: 2020-10-27T20:45:56-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"46c7d77b-67bf-4bfd-b549-137bb7b0156a1603849515580\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"5b7065e90caf6de092e274e10b664f58997dc1b5cc03a57287a895e0320730d4\",\"filePath\":\"webapp\\\\server\\\\.babelrc\",\"repoUrl\":null}"} 
ERROR: 2020-10-27T21:16:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:16:46-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:17:22-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:17:25-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:18:29-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:18:57-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:21:52-05:00 {"source":"Extension.uncaughtException","message":"Import \"~@coreui/coreui/scss/coreui.scss\" could not be resolved."} 
ERROR: 2020-10-27T21:23:20-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:28:45-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:29:00-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:29:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:29:06-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:29:18-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:30:26-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:30:26-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:30:34-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:31:54-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:31:59-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:32:20-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"JSX value should be either an expression or a quoted JSX text (33:10)"}} 
ERROR: 2020-10-27T21:32:27-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:32:28-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:32:36-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:32:52-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:33:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:33:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:34:01-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:34:51-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:34:55-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:35:01-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:35:01-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:35:14-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:36:34-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:36:34-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:36:54-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:36:54-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:37:02-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:37:09-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:37:09-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:37:31-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
